DATE,NAV
2025-09-12,13.49010
2025-09-11,13.50340
2025-09-10,13.51130
2025-09-09,13.51580
2025-09-08,13.51430
2025-09-05,13.51450
2025-09-04,13.51270
2025-09-03,13.51210
2025-09-02,13.51210
2025-09-01,13.50880
2025-08-29,13.50230
2025-08-28,13.50220
2025-08-27,13.50130
2025-08-26,13.50190
2025-08-25,13.50170
2025-08-22,13.49740
2025-08-21,13.49410
2025-08-20,13.49460
2025-08-19,13.49270
2025-08-18,13.49250
2025-08-15,13.48660
2025-08-14,13.48380
2025-08-13,13.47520
2025-08-08,13.46520
2025-08-07,13.46430
2025-08-06,13.46240
2025-08-05,13.45770
2025-08-04,13.45600
2025-08-01,13.45000
2025-07-31,13.44950
2025-07-30,13.44810
2025-07-29,13.44710
2025-07-25,13.44900
2025-07-24,13.44840
2025-07-23,13.44770
2025-07-22,13.44550
2025-07-21,13.43820
2025-07-18,13.43530
2025-07-17,13.43180
2025-07-16,13.43120
2025-07-15,13.42820
2025-07-14,13.42460
2025-07-11,13.42380
2025-07-09,13.42520
2025-07-08,13.42190
2025-07-07,13.41670
2025-07-04,13.41060
2025-07-03,13.40920
2025-07-02,13.41160
2025-07-01,13.41310
2025-06-30,13.40650
2025-06-27,13.40310
2025-06-26,13.40070
2025-06-25,13.39030
2025-06-24,13.38550
2025-06-23,13.38070
2025-06-20,13.37960
2025-06-19,13.37600
2025-06-18,13.37100
2025-06-17,13.36660
2025-06-16,13.36290
2025-06-13,13.36510
2025-06-12,13.36250
2025-06-11,13.35980
2025-06-10,13.35950
2025-06-09,13.35790
2025-06-06,13.35680
2025-06-05,13.35660
2025-06-04,13.35030
2025-05-30,13.34220
2025-05-29,13.34100
2025-05-28,13.34300
2025-05-27,13.33760
2025-05-26,13.33450
2025-05-23,13.33150
2025-05-22,13.32650
2025-05-21,13.32730
2025-05-20,13.32910
2025-05-19,13.32680
2025-05-16,13.32910
2025-05-15,13.32690
2025-05-14,13.32160
2025-05-13,13.32470
2025-05-09,13.32870
2025-05-08,13.33250
2025-05-07,13.33190
2025-05-06,13.32080
2025-05-02,13.31310
2025-04-30,13.31670
2025-04-29,13.31560
2025-04-28,13.31500
2025-04-25,13.31220
2025-04-24,13.30630
2025-04-23,13.31270
2025-04-22,13.31230
2025-04-21,13.31610
2025-04-18,13.31260
2025-04-17,13.30650
2025-04-16,13.30140
2025-04-11,13.29400
2025-04-10,13.29490
2025-04-09,13.29770
2025-04-08,13.30190
2025-04-04,13.30540
2025-04-03,13.30050
2025-04-02,13.28500
2025-04-01,13.27710
2025-03-31,13.27270
2025-03-27,13.25420
2025-03-26,13.25070
2025-03-25,13.24780
2025-03-24,13.25050
2025-03-21,13.25070
2025-03-20,13.24580
2025-03-19,13.23750
2025-03-18,13.23070
2025-03-17,13.23010
2025-03-14,13.22980
2025-03-13,13.22640
2025-03-12,13.22470
2025-03-11,13.22110
2025-03-10,13.21490
2025-03-07,13.21070
2025-03-06,13.20650
2025-03-05,13.20820
2025-03-04,13.20590
2025-03-03,13.20440
2025-02-28,13.20480
2025-02-27,13.20580
2025-02-26,13.19850
2025-02-25,13.18560
2025-02-24,13.18390
2025-02-21,13.17800
2025-02-20,13.17520
2025-02-19,13.17330
2025-02-18,13.17160
2025-02-17,13.17100
2025-02-14,13.16810
2025-02-13,13.16640
2025-02-11,13.16920
2025-02-10,13.16820
2025-02-07,13.16770
2025-02-06,13.16440
2025-02-05,13.16350
2025-02-04,13.15960
2025-02-03,13.15670
2025-01-31,13.15630
2025-01-30,13.15880
2025-01-29,13.15850
2025-01-28,13.15800
2025-01-27,13.15720
2025-01-24,13.15190
2025-01-23,13.15000
2025-01-22,13.14590
2025-01-21,13.13990
2025-01-20,13.13960
2025-01-17,13.13850
2025-01-16,13.13740
2025-01-15,13.13500
2025-01-14,13.13600
2025-01-13,13.14070
2025-01-10,13.14540
2025-01-09,13.14610
2025-01-08,13.14400
2025-01-07,13.14380
2025-01-06,13.14020
2025-01-03,13.14370
2025-01-02,13.14140
2024-12-30,13.13790
2024-12-27,13.13870
2024-12-26,13.14020
2024-12-25,13.14100
2024-12-24,13.13980
2024-12-23,13.13940
2024-12-20,13.13570
2024-12-19,13.13580
2024-12-18,13.13650
2024-12-17,13.13430
2024-12-16,13.12900
2024-12-13,13.12780
2024-12-12,13.12720
2024-12-11,13.12770
2024-12-09,13.12930
2024-12-06,13.12610
2024-12-04,13.11970
2024-12-03,13.12430
2024-12-02,13.11860
2024-11-29,13.11580
2024-11-28,13.11110
2024-11-27,13.10540
2024-11-26,13.10060
2024-11-25,13.09780
2024-11-22,13.09190
2024-11-21,13.08890
2024-11-20,13.08830
2024-11-19,13.08800
2024-11-18,13.08670
2024-11-15,13.08340
2024-11-14,13.08290
2024-11-13,13.08150
2024-11-12,13.08140
2024-11-11,13.07960
2024-11-08,13.07760
2024-11-07,13.07480
2024-11-06,13.07180
2024-11-05,13.07490
2024-11-04,13.07210
2024-11-01,13.06940
2024-10-31,13.06880
2024-10-30,13.06760
2024-10-29,13.06550
2024-10-28,13.06790
2024-10-25,13.06770
2024-10-24,13.06300
2024-10-22,13.06410
2024-10-21,13.06740
2024-10-18,13.06180
2024-10-17,13.06070
2024-10-16,13.05720
2024-10-15,13.04080
2024-10-11,13.03450
2024-10-10,13.03050
2024-10-09,13.02880
2024-10-08,13.02620
2024-10-07,13.02590
2024-10-04,13.03040
2024-10-03,13.03120
2024-10-02,13.03360
2024-10-01,13.03210
2024-09-30,13.03390
2024-09-27,13.02920
2024-09-26,13.03160
2024-09-25,13.03160
2024-09-24,13.02940
2024-09-23,13.02830
2024-09-20,13.02940
2024-09-19,13.02510
2024-09-18,13.02310
2024-09-17,13.02320
2024-09-16,13.01750
2024-09-13,13.01320
2024-09-12,13.01040
2024-09-11,13.01070
2024-09-10,13.00740
2024-09-09,13.00700
2024-09-06,13.00590
2024-09-05,13.00380
2024-09-04,13.00300
2024-09-03,13.00110
2024-09-02,13.00080
2024-08-30,13.00020
2024-08-29,12.99870
2024-08-28,12.99870
2024-08-27,12.99820
2024-08-26,12.99780
2024-08-23,12.99200
2024-08-22,12.99160
2024-08-21,12.99030
2024-08-20,12.99090
2024-08-19,12.99270
2024-08-16,12.98970
2024-08-15,12.98830
2024-08-14,12.98570
2024-08-13,12.98140
2024-08-09,12.97600
2024-08-08,12.97480
2024-08-07,12.97350
2024-08-06,12.97550
2024-08-05,12.97870
2024-08-02,12.97110
2024-08-01,12.96630
2024-07-31,12.96190
2024-07-30,12.95960
2024-07-26,12.95440
2024-07-25,12.95210
2024-07-24,12.94940
2024-07-23,12.94740
2024-07-19,12.94450
2024-07-18,12.94540
2024-07-17,12.94490
2024-07-16,12.94490
2024-07-15,12.94160
2024-07-12,12.94100
2024-07-11,12.93770
2024-07-10,12.93560
2024-07-09,12.93260
2024-07-08,12.92930
2024-07-05,12.92490
2024-07-04,12.92050
2024-07-03,12.91820
2024-07-02,12.91730
2024-07-01,12.91860
2024-06-28,12.91570
2024-06-27,12.91270
2024-06-26,12.91290
2024-06-25,12.91480
2024-06-24,12.91380
2024-06-21,12.91020
2024-06-20,12.90570
2024-06-19,12.90430
