THAIDATE,Month,DATE,NAV
12 ก.ย. 68,ก.ย.,12-Sep-2025,12.3053
11 ก.ย. 68,ก.ย.,11-Sep-2025,12.3128
10 ก.ย. 68,ก.ย.,10-Sep-2025,12.3136
09 ก.ย. 68,ก.ย.,09-Sep-2025,12.3168
08 ก.ย. 68,ก.ย.,08-Sep-2025,12.3125
05 ก.ย. 68,ก.ย.,05-Sep-2025,12.3086
04 ก.ย. 68,ก.ย.,04-Sep-2025,12.3047
03 ก.ย. 68,ก.ย.,03-Sep-2025,12.2999
02 ก.ย. 68,ก.ย.,02-Sep-2025,12.2987
01 ก.ย. 68,ก.ย.,01-Sep-2025,12.2974
29 ส.ค. 68,ส.ค.,29-Aug-2025,12.2915
28 ส.ค. 68,ส.ค.,28-Aug-2025,12.2921
27 ส.ค. 68,ส.ค.,27-Aug-2025,12.2884
26 ส.ค. 68,ส.ค.,26-Aug-2025,12.2888
25 ส.ค. 68,ส.ค.,25-Aug-2025,12.2892
22 ส.ค. 68,ส.ค.,22-Aug-2025,12.2828
21 ส.ค. 68,ส.ค.,21-Aug-2025,12.2832
20 ส.ค. 68,ส.ค.,20-Aug-2025,12.2843
19 ส.ค. 68,ส.ค.,19-Aug-2025,12.2829
18 ส.ค. 68,ส.ค.,18-Aug-2025,12.2839
15 ส.ค. 68,ส.ค.,15-Aug-2025,12.2801
14 ส.ค. 68,ส.ค.,14-Aug-2025,12.2807
13 ส.ค. 68,ส.ค.,13-Aug-2025,12.2691
08 ส.ค. 68,ส.ค.,08-Aug-2025,12.2601
07 ส.ค. 68,ส.ค.,07-Aug-2025,12.2596
06 ส.ค. 68,ส.ค.,06-Aug-2025,12.2552
05 ส.ค. 68,ส.ค.,05-Aug-2025,12.2541
04 ส.ค. 68,ส.ค.,04-Aug-2025,12.2485
01 ส.ค. 68,ส.ค.,01-Aug-2025,12.2369
31 ก.ค. 68,ก.ค.,31-Jul-2025,12.2385
30 ก.ค. 68,ก.ค.,30-Jul-2025,12.2374
29 ก.ค. 68,ก.ค.,29-Jul-2025,12.2314
25 ก.ค. 68,ก.ค.,25-Jul-2025,12.2326
24 ก.ค. 68,ก.ค.,24-Jul-2025,12.2320
23 ก.ค. 68,ก.ค.,23-Jul-2025,12.2312
22 ก.ค. 68,ก.ค.,22-Jul-2025,12.2287
21 ก.ค. 68,ก.ค.,21-Jul-2025,12.2208
18 ก.ค. 68,ก.ค.,18-Jul-2025,12.2143
17 ก.ค. 68,ก.ค.,17-Jul-2025,12.2095
16 ก.ค. 68,ก.ค.,16-Jul-2025,12.2079
15 ก.ค. 68,ก.ค.,15-Jul-2025,12.2092
14 ก.ค. 68,ก.ค.,14-Jul-2025,12.2052
11 ก.ค. 68,ก.ค.,11-Jul-2025,12.2074
09 ก.ค. 68,ก.ค.,09-Jul-2025,12.2075
08 ก.ค. 68,ก.ค.,08-Jul-2025,12.2044
07 ก.ค. 68,ก.ค.,07-Jul-2025,12.2029
04 ก.ค. 68,ก.ค.,04-Jul-2025,12.1946
03 ก.ค. 68,ก.ค.,03-Jul-2025,12.1982
02 ก.ค. 68,ก.ค.,02-Jul-2025,12.2009
01 ก.ค. 68,ก.ค.,01-Jul-2025,12.2068
30 มิ.ย. 68,มิ.ย.,30-Jun-2025,12.1974
27 มิ.ย. 68,มิ.ย.,27-Jun-2025,12.1965
26 มิ.ย. 68,มิ.ย.,26-Jun-2025,12.1946
25 มิ.ย. 68,มิ.ย.,25-Jun-2025,12.1856
24 มิ.ย. 68,มิ.ย.,24-Jun-2025,12.1786
23 มิ.ย. 68,มิ.ย.,23-Jun-2025,12.1732
20 มิ.ย. 68,มิ.ย.,20-Jun-2025,12.1712
