DATE,NAV
2025-09-15,13.4657
2025-09-12,13.4901
2025-09-11,13.5034
2025-09-10,13.5113
2025-09-09,13.5158
2025-09-08,13.5143
2025-09-05,13.5145
2025-09-04,13.5127
2025-09-03,13.5121
2025-09-02,13.5121
2025-09-01,13.5088
2025-08-29,13.5023
2025-08-28,13.5022
2025-08-27,13.5013
2025-08-26,13.5019
2025-08-25,13.5017
2025-08-22,13.4974
2025-08-21,13.4941
2025-08-20,13.4946
2025-08-19,13.4927
2025-08-18,13.4925
2025-08-15,13.4866
2025-08-14,13.4838
2025-08-13,13.4752
2025-08-08,13.4652
2025-08-07,13.4643
2025-08-06,13.4624
2025-08-05,13.4577
2025-08-04,13.4560
2025-08-01,13.4500
2025-07-31,13.4495
2025-07-30,13.4481
2025-07-29,13.4471
2025-07-25,13.4490
2025-07-24,13.4484
2025-07-23,13.4477
2025-07-22,13.4455
2025-07-21,13.4382
2025-07-18,13.4353
2025-07-17,13.4318
2025-07-16,13.4312
2025-07-15,13.4282
2025-07-14,13.4246
2025-07-11,13.4238
2025-07-09,13.4252
2025-07-08,13.4219
2025-07-07,13.4167
2025-07-04,13.4106
2025-07-03,13.4092
2025-07-02,13.4116
2025-07-01,13.4131
2025-06-30,13.4065
2025-06-27,13.4031
2025-06-26,13.4007
2025-06-25,13.3903
2025-06-24,13.3855
2025-06-23,13.3807
2025-06-20,13.3796
2025-06-19,13.3760
2025-06-18,13.3710
2025-06-17,13.3666
2025-06-16,13.3629
2025-06-13,13.3651
2025-06-12,13.3625
2025-06-11,13.3598
2025-06-10,13.3595
2025-06-09,13.3579
2025-06-06,13.3568
2025-06-05,13.3566
2025-06-04,13.3503
2025-05-30,13.3422
2025-05-29,13.3410
2025-05-28,13.3430
2025-05-27,13.3376
2025-05-26,13.3345
2025-05-23,13.3315
2025-05-22,13.3265
2025-05-21,13.3273
2025-05-20,13.3291
2025-05-19,13.3268
2025-05-16,13.3291
2025-05-15,13.3269
2025-05-14,13.3216
2025-05-13,13.3247
2025-05-09,13.3287
2025-05-08,13.3325
2025-05-07,13.3319
2025-05-06,13.3208
2025-05-02,13.3131
2025-04-30,13.3167
2025-04-29,13.3156
2025-04-28,13.3150
2025-04-25,13.3122
2025-04-24,13.3063
2025-04-23,13.3127
2025-04-22,13.3123
2025-04-21,13.3161
2025-04-18,13.3126
2025-04-17,13.3065
2025-04-16,13.3014
2025-04-11,13.2940
2025-04-10,13.2949
2025-04-09,13.2977
2025-04-08,13.3019
2025-04-04,13.3054
2025-04-03,13.3005
2025-04-02,13.2850
2025-04-01,13.2771
2025-03-31,13.2727
2025-03-27,13.2542
2025-03-26,13.2507
2025-03-25,13.2478
2025-03-24,13.2505
2025-03-21,13.2507
2025-03-20,13.2458
2025-03-19,13.2375
2025-03-18,13.2307
2025-03-17,13.2301
2025-03-14,13.2298
2025-03-13,13.2264
2025-03-12,13.2247
2025-03-11,13.2211
2025-03-10,13.2149
2025-03-07,13.2107
2025-03-06,13.2065
2025-03-05,13.2082
2025-03-04,13.2059
2025-03-03,13.2044
2025-02-28,13.2048
2025-02-27,13.2058
2025-02-26,13.1985
2025-02-25,13.1856
2025-02-24,13.1839
2025-02-21,13.1780
2025-02-20,13.1752
2025-02-19,13.1733
2025-02-18,13.1716
2025-02-17,13.1710
2025-02-14,13.1681
2025-02-13,13.1664
2025-02-11,13.1692
2025-02-10,13.1682
2025-02-07,13.1677
2025-02-06,13.1644
2025-02-05,13.1635
2025-02-04,13.1596
2025-02-03,13.1567
2025-01-31,13.1563
2025-01-30,13.1588
2025-01-29,13.1585
2025-01-28,13.1580
2025-01-27,13.1572
2025-01-24,13.1519
2025-01-23,13.1500
2025-01-22,13.1459
2025-01-21,13.1399
2025-01-20,13.1396
2025-01-17,13.1385
2025-01-16,13.1374
2025-01-15,13.1350
2025-01-14,13.1360
2025-01-13,13.1407
2025-01-10,13.1454
2025-01-09,13.1461
2025-01-08,13.1440
2025-01-07,13.1438
2025-01-06,13.1402
2025-01-03,13.1437
2025-01-02,13.1414
2024-12-30,13.1379
2024-12-27,13.1387
2024-12-26,13.1402
2024-12-25,13.1410
2024-12-24,13.1398
2024-12-23,13.1394
2024-12-20,13.1357
2024-12-19,13.1358
2024-12-18,13.1365
2024-12-17,13.1343
2024-12-16,13.1290
2024-12-13,13.1278
2024-12-12,13.1272
2024-12-11,13.1277
2024-12-09,13.1293
2024-12-06,13.1261
2024-12-04,13.1197
2024-12-03,13.1243
2024-12-02,13.1186
2024-11-29,13.1158
2024-11-28,13.1111
2024-11-27,13.1054
2024-11-26,13.1006
2024-11-25,13.0978
2024-11-22,13.0919
2024-11-21,13.0889
2024-11-20,13.0883
2024-11-19,13.0880
2024-11-18,13.0867
2024-11-15,13.0834
2024-11-14,13.0829
2024-11-13,13.0815
2024-11-12,13.0814
2024-11-11,13.0796
2024-11-08,13.0776
2024-11-07,13.0748
2024-11-06,13.0718
2024-11-05,13.0749
2024-11-04,13.0721
2024-11-01,13.0694
2024-10-31,13.0688
2024-10-30,13.0676
2024-10-29,13.0655
2024-10-28,13.0679
2024-10-25,13.0677
2024-10-24,13.0630
2024-10-22,13.0641
2024-10-21,13.0674
2024-10-18,13.0618
2024-10-17,13.0607
2024-10-16,13.0572
2024-10-15,13.0408
2024-10-11,13.0345
2024-10-10,13.0305
2024-10-09,13.0288
2024-10-08,13.0262
2024-10-07,13.0259
2024-10-04,13.0304
2024-10-03,13.0312
2024-10-02,13.0336
2024-10-01,13.0321
2024-09-30,13.0339
2024-09-27,13.0292
2024-09-26,13.0316
2024-09-25,13.0316
2024-09-24,13.0294
2024-09-23,13.0283
2024-09-20,13.0294
2024-09-19,13.0251
2024-09-18,13.0231
2024-09-17,13.0232
2024-09-16,13.0175
2024-09-13,13.0132
2024-09-12,13.0104
2024-09-11,13.0107
2024-09-10,13.0074
2024-09-09,13.0070
2024-09-06,13.0059
2024-09-05,13.0038
2024-09-04,13.0030
2024-09-03,13.0011
2024-09-02,13.0008
2024-08-30,13.0002
2024-08-29,12.9987
2024-08-28,12.9987
2024-08-27,12.9982
2024-08-26,12.9978
2024-08-23,12.9920
2024-08-22,12.9916
2024-08-21,12.9903
2024-08-20,12.9909
2024-08-19,12.9927
2024-08-16,12.9897
2024-08-15,12.9883
2024-08-14,12.9857
2024-08-13,12.9814
2024-08-09,12.9760
2024-08-08,12.9748
2024-08-07,12.9735
2024-08-06,12.9755
2024-08-05,12.9787
2024-08-02,12.9711
2024-08-01,12.9663
2024-07-31,12.9619
2024-07-30,12.9596
2024-07-26,12.9544
2024-07-25,12.9521
2024-07-24,12.9494
2024-07-23,12.9474
2024-07-19,12.9445
2024-07-18,12.9454
2024-07-17,12.9449
2024-07-16,12.9449
2024-07-15,12.9416
2024-07-12,12.9410
2024-07-11,12.9377
2024-07-10,12.9356
2024-07-09,12.9326
2024-07-08,12.9293
2024-07-05,12.9249
2024-07-04,12.9205
2024-07-03,12.9182
2024-07-02,12.9173
2024-07-01,12.9186
2024-06-28,12.9157
2024-06-27,12.9127
2024-06-26,12.9129
2024-06-25,12.9148
2024-06-24,12.9138
2024-06-21,12.9102
2024-06-20,12.9057
2024-06-19,12.9043
2024-06-18,12.9022
2024-06-17,12.9017
2024-06-14,12.8997
2024-06-13,12.8983
2024-06-12,12.8960
2024-06-11,12.8958
2024-06-10,12.8933
2024-06-07,12.8927
2024-06-06,12.8915
2024-06-05,12.8899
2024-06-04,12.8894
2024-05-31,12.8842
2024-05-30,12.8832
2024-05-29,12.8823
2024-05-28,12.8839
2024-05-27,12.8819
2024-05-24,12.8760
2024-05-23,12.8742
2024-05-21,12.8721
2024-05-20,12.8791
2024-05-17,12.8785
2024-05-16,12.8776
2024-05-15,12.8726
2024-05-14,12.8704
2024-05-13,12.8690
2024-05-10,12.8664
2024-05-09,12.8633
2024-05-08,12.8624
2024-05-07,12.8641
2024-05-03,12.8599
2024-05-02,12.8578
2024-04-30,12.8536
2024-04-29,12.8520
2024-04-26,12.8478
2024-04-25,12.8474
2024-04-24,12.8486
2024-04-23,12.8485
2024-04-22,12.8461
2024-04-19,12.8450
2024-04-18,12.8437
2024-04-17,12.8375
2024-04-11,12.8390
2024-04-10,12.8488
2024-04-09,12.8547
2024-04-05,12.8562
2024-04-04,12.8554
2024-04-03,12.8552
2024-04-02,12.8543
2024-04-01,12.8532
2024-03-29,12.8534
2024-03-28,12.8520
2024-03-27,12.8502
2024-03-26,12.8481
2024-03-25,12.8480
2024-03-22,12.8466
2024-03-21,12.8472
2024-03-20,12.8466
2024-03-19,12.8461
2024-03-18,12.8460
2024-03-15,12.8441
2024-03-14,12.8436
2024-03-13,12.8443
2024-03-12,12.8439
2024-03-11,12.8417
2024-03-08,12.8376
2024-03-07,12.8354
2024-03-06,12.8344
2024-03-05,12.8338
2024-03-04,12.8323
2024-03-01,12.8292
2024-02-29,12.8276
2024-02-28,12.8273
2024-02-27,12.8282
2024-02-23,12.8247
2024-02-22,12.8233
2024-02-21,12.8237
2024-02-20,12.8216
2024-02-19,12.8202
2024-02-16,12.8171
2024-02-15,12.8165
2024-02-14,12.8157
2024-02-13,12.8169
2024-02-12,12.8148
2024-02-09,12.8120
2024-02-08,12.8129
2024-02-07,12.8049
2024-02-06,12.8016
2024-02-05,12.7987
2024-02-02,12.7977
2024-02-01,12.7968
2024-01-31,12.7948
2024-01-30,12.7963
2024-01-29,12.7937
2024-01-26,12.7902
2024-01-25,12.7861
2024-01-24,12.7858
2024-01-23,12.7846
2024-01-22,12.7822
2024-01-19,12.7795
2024-01-18,12.7801
2024-01-17,12.7804
2024-01-16,12.7804
2024-01-15,12.7804
2024-01-12,12.7749
2024-01-11,12.7747
2024-01-10,12.7745
2024-01-09,12.7706
2024-01-08,12.7679
2024-01-05,12.7648
2024-01-04,12.7646
2024-01-03,12.7621
2024-01-02,12.7626
