DATE,NAV
15-Sep-2025,12.2890
12-Sep-2025,12.3053
11-Sep-2025,12.3128
10-Sep-2025,12.3136
09-Sep-2025,12.3168
08-Sep-2025,12.3125
05-Sep-2025,12.3086
04-Sep-2025,12.3047
03-Sep-2025,12.2999
02-Sep-2025,12.2987
01-Sep-2025,12.2974
29-Aug-2025,12.2915
28-Aug-2025,12.2921
27-Aug-2025,12.2884
26-Aug-2025,12.2888
25-Aug-2025,12.2892
22-Aug-2025,12.2828
21-Aug-2025,12.2832
20-Aug-2025,12.2843
19-Aug-2025,12.2829
18-Aug-2025,12.2839
15-Aug-2025,12.2801
14-Aug-2025,12.2807
13-Aug-2025,12.2691
08-Aug-2025,12.2601
07-Aug-2025,12.2596
06-Aug-2025,12.2552
05-Aug-2025,12.2541
04-Aug-2025,12.2485
01-Aug-2025,12.2369
31-Jul-2025,12.2385
30-Jul-2025,12.2374
29-Jul-2025,12.2314
25-Jul-2025,12.2326
24-Jul-2025,12.2320
23-Jul-2025,12.2312
22-Jul-2025,12.2287
21-Jul-2025,12.2208
18-Jul-2025,12.2143
17-Jul-2025,12.2095
16-Jul-2025,12.2079
15-Jul-2025,12.2092
14-Jul-2025,12.2052
11-Jul-2025,12.2074
09-Jul-2025,12.2075
08-Jul-2025,12.2044
07-Jul-2025,12.2029
04-Jul-2025,12.1946
03-Jul-2025,12.1982
02-Jul-2025,12.2009
01-Jul-2025,12.2068
30-Jun-2025,12.1974
27-Jun-2025,12.1965
26-Jun-2025,12.1946
25-Jun-2025,12.1856
24-Jun-2025,12.1786
23-Jun-2025,12.1732
20-Jun-2025,12.1712
19-Jun-2025,12.1693
18-Jun-2025,12.1652
17-Jun-2025,12.1574
16-Jun-2025,12.1542
13-Jun-2025,12.1603
12-Jun-2025,12.1563
11-Jun-2025,12.1487
10-Jun-2025,12.1520
09-Jun-2025,12.1490
06-Jun-2025,12.1526
05-Jun-2025,12.1511
04-Jun-2025,12.1407
30-May-2025,12.1355
29-May-2025,12.1264
28-May-2025,12.1306
27-May-2025,12.1278
26-May-2025,12.1207
23-May-2025,12.1172
22-May-2025,12.1114
21-May-2025,12.1138
20-May-2025,12.1193
19-May-2025,12.1116
16-May-2025,12.1224
15-May-2025,12.1142
14-May-2025,12.1123
13-May-2025,12.1138
09-May-2025,12.1207
08-May-2025,12.1262
07-May-2025,12.1273
06-May-2025,12.1163
02-May-2025,12.1191
30-Apr-2025,12.1249
29-Apr-2025,12.1205
28-Apr-2025,12.1187
25-Apr-2025,12.1140
24-Apr-2025,12.1065
23-Apr-2025,12.1128
22-Apr-2025,12.1069
21-Apr-2025,12.1157
18-Apr-2025,12.1133
17-Apr-2025,12.1088
16-Apr-2025,12.1044
11-Apr-2025,12.0932
10-Apr-2025,12.1031
09-Apr-2025,12.0997
08-Apr-2025,12.1140
04-Apr-2025,12.1260
03-Apr-2025,12.1169
02-Apr-2025,12.0998
01-Apr-2025,12.0924
31-Mar-2025,12.0873
27-Mar-2025,12.0606
26-Mar-2025,12.0633
25-Mar-2025,12.0586
24-Mar-2025,12.0643
21-Mar-2025,12.0661
20-Mar-2025,12.0610
19-Mar-2025,12.0514
18-Mar-2025,12.0429
17-Mar-2025,12.0438
14-Mar-2025,12.0430
13-Mar-2025,12.0379
12-Mar-2025,12.0381
11-Mar-2025,12.0397
10-Mar-2025,12.0325
07-Mar-2025,12.0272
06-Mar-2025,12.0219
05-Mar-2025,12.0260
04-Mar-2025,12.0275
03-Mar-2025,12.0223
28-Feb-2025,12.0230
27-Feb-2025,12.0205
26-Feb-2025,12.0137
25-Feb-2025,11.9987
24-Feb-2025,11.9929
21-Feb-2025,11.9850
20-Feb-2025,11.9824
19-Feb-2025,11.9784
18-Feb-2025,11.9775
17-Feb-2025,11.9786
14-Feb-2025,11.9734
13-Feb-2025,11.9677
11-Feb-2025,11.9740
10-Feb-2025,11.9756
07-Feb-2025,11.9763
06-Feb-2025,11.9728
05-Feb-2025,11.9685
04-Feb-2025,11.9620
03-Feb-2025,11.9610
31-Jan-2025,11.9602
30-Jan-2025,11.9646
29-Jan-2025,11.9631
28-Jan-2025,11.9600
27-Jan-2025,11.9594
24-Jan-2025,11.9476
23-Jan-2025,11.9489
22-Jan-2025,11.9454
21-Jan-2025,11.9398
20-Jan-2025,11.9369
17-Jan-2025,11.9361
16-Jan-2025,11.9321
15-Jan-2025,11.9248
14-Jan-2025,11.9244
13-Jan-2025,11.9295
10-Jan-2025,11.9360
09-Jan-2025,11.9365
08-Jan-2025,11.9347
07-Jan-2025,11.9367
06-Jan-2025,11.9356
03-Jan-2025,11.9403
02-Jan-2025,11.9389
30-Dec-2024,11.9294
27-Dec-2024,11.9301
26-Dec-2024,11.9330
25-Dec-2024,11.9343
24-Dec-2024,11.9324
23-Dec-2024,11.9356
20-Dec-2024,11.9330
19-Dec-2024,11.9347
18-Dec-2024,11.9406
17-Dec-2024,11.9380
16-Dec-2024,11.9355
13-Dec-2024,11.9362
12-Dec-2024,11.9371
11-Dec-2024,11.9406
09-Dec-2024,11.9440
06-Dec-2024,11.9407
04-Dec-2024,11.9339
03-Dec-2024,11.9380
02-Dec-2024,11.9311
29-Nov-2024,11.9275
28-Nov-2024,11.9215
27-Nov-2024,11.9157
26-Nov-2024,11.9103
25-Nov-2024,11.9044
22-Nov-2024,11.8973
21-Nov-2024,11.8941
20-Nov-2024,11.8930
19-Nov-2024,11.8935
18-Nov-2024,11.8886
15-Nov-2024,11.8877
14-Nov-2024,11.8854
13-Nov-2024,11.8866
12-Nov-2024,11.8919
11-Nov-2024,11.8894
08-Nov-2024,11.8882
07-Nov-2024,11.8798
06-Nov-2024,11.8781
05-Nov-2024,11.8844
04-Nov-2024,11.8825
01-Nov-2024,11.8796
31-Oct-2024,11.8788
30-Oct-2024,11.8809
29-Oct-2024,11.8734
28-Oct-2024,11.8786
25-Oct-2024,11.8820
24-Oct-2024,11.8780
22-Oct-2024,11.8771
21-Oct-2024,11.8853
18-Oct-2024,11.8804
17-Oct-2024,11.8814
16-Oct-2024,11.8812
15-Oct-2024,11.8683
11-Oct-2024,11.8613
10-Oct-2024,11.8596
09-Oct-2024,11.8619
08-Oct-2024,11.8593
07-Oct-2024,11.8594
04-Oct-2024,11.8656
03-Oct-2024,11.8685
02-Oct-2024,11.8702
01-Oct-2024,11.8686
30-Sep-2024,11.8688
27-Sep-2024,11.8658
26-Sep-2024,11.8673
25-Sep-2024,11.8694
24-Sep-2024,11.8670
23-Sep-2024,11.8683
20-Sep-2024,11.8704
19-Sep-2024,11.8673
18-Sep-2024,11.8672
17-Sep-2024,11.8683
16-Sep-2024,11.8636
13-Sep-2024,11.8616
12-Sep-2024,11.8595
11-Sep-2024,11.8611
10-Sep-2024,11.8557
